death_rate,cancer_rate,income,population,poverty,white,black,asian,married,birth
212.9,591,32,8.91,25.1,98,0,0,58.1,8.8
185.6,234,41,8.18,17.4,96.7,1.1,0.1,53.9,6.02
217,457,36,45,21.4,93.4,5.2,0.1,49.9,6.5
209.9,463.1,32,8.52,28.9,81.6,10.9,0.32,52.6,2.3
128,356.3,41,11.77,17,97.4,1.4,0,55.4,3.5
195.1,494.9,36,35.52,21.1,94.1,2.3,0.4,47.5,4.4
212.1,475.1,35,23.35,21.2,97.2,1.4,0,33.7,2.3
184.1,495,48,29.82,12.9,95.7,2.2,0.2,48.4,5.7
153,374.9,41,13.85,15.3,94.7,4.4,0.5,51.4,3
206.7,506.6,42,68.71,13.9,95.7,1.8,0.5,49.7,5.1
194.2,475.8,41,29.24,16.7,97.4,0.7,0.2,55.5,4.7
178.2,423.7,66,56.48,10.2,88.2,7,1.62,54.1,5
205.4,508.7,43,188.33,16.8,88.7,4.48,1.1,43.7,4.1
218.4,553,40,16.45,20,97.81,0.5,0.3,49.9,4.37
226.9,513.2,34,21.42,24.4,98.3,0.5,0.3,52.9,2.6
240.1,523.9,36,34.71,20.2,96.4,2.2,0.4,52.3,4.2
234.8,457.1,24,19.84,34.9,89.4,9.2,0,44.3,3.9
188.8,510.9,43,56.93,17.9,94,3.6,0.5,49.5,5.1
184.6,456.3,43,31.98,15.2,97.7,0.9,0.4,55.3,3.2
209.5,463.4,35,27.04,20.6,97.9,0.7,0.06,50.7,3.7
210,493.8,35,61.16,20.5,91.1,5.9,0.7,48.4,4.8
198.4,456.6,40,27.45,16.1,94.8,3.15,0.3,43,7.4
240.8,507,29,25.29,28.1,96.1,1.4,0.4,52.1,2.8
155.9,444.5,43,104.24,22.5,90.6,3.6,3.15,40.4,4
190.7,434.6,36,13.51,19.3,97.7,0.7,0,53.2,6.1
209.7,425.4,44,17.52,13,97.4,0.77,0.4,45.1,4.1
199.8,455.5,36,25.59,19.6,99.3,0,0.21,55.7,3.3
184.4,500.9,40,43.07,18.4,93.1,4.2,0.9,42.9,3.26
139.8,381.8,38,7.23,16.7,96,2.73,0,54.9,7.6
213.3,458.9,44,7.67,16.5,97.1,0.3,0,56.8,3
176.8,384.8,34,8.61,17.6,96.8,1.5,0,53.3,4.3
169.8,435.3,41,33.94,17.6,94.2,3.97,0.2,56.8,4
171.5,497.2,59,56.85,10,96.6,1.5,0.3,58.7,6.03
198.2,469.6,40,77.51,17.7,88.3,8.3,1.2,49.7,3.8
168.6,405.2,37,29.13,20.8,96.9,1.9,0.2,52,4.2
214.7,502,46,9.98,17.7,98.2,0.5,0,49.7,6.27
204,449.2,33,14.44,23.1,97.9,0,0.1,52.2,2.4
170.4,377.1,32,13.24,25.8,93,5.1,0.1,50.4,3.81
172.2,400.9,40,16.91,16.8,97.3,0.9,1,52.1,6.8
168.1,528.4,36,6.97,17.1,98.2,0.23,0.6,56.9,3.9
199.1,468.3,41,8.98,15.8,98.7,0.2,0,52.4,2
189.5,453.7,38,24.76,19.7,97.4,1.1,0.24,53.6,5.3
183.8,433.2,37,40.97,20,97.9,0.4,0.1,47.5,4.1
259.5,511.9,29,8.76,26.1,98,0.1,0.4,48.7,4.2
202.6,514.6,40,15.82,18.5,98.4,0.1,0.5,51.7,6.2
185.8,455.3,38,5.88,20.3,97.4,0.84,0,51.8,5.97
185.5,488.8,41,86.45,17.2,96.2,1.1,0.61,47.9,6.2
235.4,447.8,34,22.15,22.8,97.7,0.78,0,54,6.02
206,467.9,42,20.15,17.8,93.2,3.05,0.4,54.1,3.9
217.5,451.5,41,15.84,14.9,85,0.5,0.5,42.8,6.5
168.4,412.1,46,45.56,13.7,95.7,1.27,0.5,52.6,5.9
171.7,369.9,44,14.98,13.6,86.4,0.7,0.4,52.8,5.55
158.6,479.1,54,258.72,12,86.5,2.4,3,49.8,5.9
166.4,385.7,50,13.19,10.5,97.5,0.5,0.1,54.1,7.2
190.1,399.2,41,15.16,16.5,91.54,0.5,0.41,51.1,5
157.9,474.1,68,49.76,5.9,94.7,0.78,2.4,63,4.3
160.1,482.4,52,63.53,10.7,95.1,1.4,1.2,55.2,5.5
157.6,455.2,45,34.45,16,97.1,0.4,0.4,57.4,9.9
176.6,476.1,59,56.74,8.8,95.7,1.51,0.5,54.3,4.7
176.4,466.4,43,16.39,14.7,96.2,1.8,0.37,51.3,5.3
153.8,430.7,61,523.64,13.4,84.42,5.2,5.4,45.3,4.5
178.9,437.3,54,88.5,9.9,93.8,2.1,0.6,53.5,4.5
158.7,449.3,49,27.55,11,96.6,0.5,0.48,56.5,4.48
192.8,354.7,46,43.6,13.9,92.9,1.1,1.1,44.2,6.2
155.6,396.1,52,44.5,13.9,94.4,0.6,2.1,51.4,5.12
163.4,440.9,48,102.11,14.4,92.8,0.7,3.45,46.9,4.3
171.9,308.2,44,4.46,12.8,98.5,0.2,0.1,57.9,3.5
159.4,477,52,101.97,9.9,93.6,1.2,1.3,53.5,4.5
166.4,490.6,41,9.06,17,82.3,0.5,0.2,51.4,7.25
166.9,428.2,46,52.25,15,96.7,1.3,0.74,51.7,5.2
158.4,420,53,37.19,8.7,97.2,0.3,0.6,55.27,5.5
152.3,447.2,61,17.11,8.2,96.5,0.4,0.5,60.5,9.7
169.9,356.1,40,5.22,16,84.5,0.4,0.5,52.5,5.4
187.4,400.6,43,3.09,12.1,97.9,1.2,0.2,54,8
138.2,221.5,55,5.94,9.2,97.2,0.6,0.3,61.7,5.68
120.2,432.5,49,5.16,10.7,97.1,0.06,0,59.5,6.4
215,453.6,41,7.06,34,41.4,0.1,0.6,41.7,8.5
156.3,350.1,44,4.15,12.3,98.3,0.1,0,56.9,5
159.2,431.4,69,20.25,7.4,97.3,0.7,0.1,63,5.7
142.1,392,53,9.37,13.6,95.3,3.34,0,58.7,6
162.7,495.5,40,3.63,12.7,95.5,0.1,1.38,54.3,3.5
164.7,389.2,51,13.81,10.6,95.6,0.9,0.2,55.1,7
211,453.5,46,24.2,13.2,81.8,2.4,2.7,49.7,7.7
167.7,453.5,51,2114.8,15.6,63.8,10.8,9.17,43.8,5.1
145.2,453.5,60,47.71,10.3,89.2,0.6,1.3,56.1,5.2
143.2,453.5,72,51.94,10.8,88.1,1.29,0.9,57.8,6.7
262.1,453.5,47,0.83,14,87.4,0,0,40.6,4.3
178.7,453.5,70,2.02,9.8,95.8,0.1,0,56.1,2.4
191.5,453.5,67,17.02,10.7,87.1,0.5,0.3,51.4,5.5
123.8,453.5,74,5.9,11,88.4,0.1,0.81,56.9,11.6
127.4,453.5,45,5.04,15.1,90.6,2.9,0.1,59.2,4.5
195.7,453.5,48,52.59,13.7,85.7,0.9,1.3,52,4.6
254.3,453.5,40,4.48,19,66.7,1.31,4.1,34.4,9.52
213.5,453.5,42,42.48,16.8,85.7,2.6,1.4,52.2,6.3
121.8,453.5,52,6.63,18.5,86.4,4.8,0.16,51.4,14.6
132.6,453.5,55,3.99,8.4,94.2,0.4,1.45,52.2,1.2
166,453.5,52,446.9,15.4,80.5,2.4,5.3,45.2,5.6
188.4,453.5,57,9.81,13.7,86.6,4.2,0.7,53.2,5.47
193.5,453.5,45,54.52,19.3,82.8,0.97,3,42.9,4.3
182.6,508.6,59,60.64,10,96.4,0.5,1.1,53.4,4.8
168.8,481.8,57,47.29,10.7,97.4,0.4,0.6,54.7,7.4
162.8,489.4,56,75.91,11.8,95.7,0.7,1.2,48.9,4.7
181.6,459.2,42,31.21,14.9,95.5,1.7,0.43,48.2,6
155,435.5,56,89.32,11.6,93.2,0.9,3.21,49.6,6.1
163.2,482.2,71,406.68,8.7,90.8,2.4,3.6,52,5.1
173.1,507.6,62,147.99,9.5,94.98,1.2,1.6,53.1,3.9
172.2,518.8,79,301.78,6.1,95.2,0.75,1.9,57.1,4.4
177.6,502.6,58,126.83,11.8,93.4,0.96,2.9,49.9,3.68
171.9,475.7,57,42.97,10.4,96.4,0.5,0.88,49.9,3.66
179.5,505.5,54,274.22,15.1,67.1,15.6,8.3,44.8,4.7
147.3,468.1,84,938.51,7.6,70.4,5.8,15.6,56.42,4.1
171.6,531.8,80,450.23,7.2,72.8,16.1,4.7,53.7,4.9
182.8,530.9,61,510.92,13,63.3,19.4,5.6,46,5.43
193.1,559.1,55,94.73,13,90.8,4.7,1.2,51.1,5.4
189.6,511.3,45,155.85,19.5,63.1,20.5,1.3,43.7,5.8
161.8,450.6,54,797.43,16.7,41.92,39.9,4.9,39,5.1
193.5,544.2,78,291.48,8.2,82,10.1,3,55.4,4.9
152.6,399.5,57,674.84,17.7,55.63,12.7,14.6,38.5,5.3
145.1,496.3,103,125.49,4.7,91.1,2.6,3.63,62.1,4.2
160.3,504.7,73,371.4,11.8,62.93,20.1,10.1,49.81,4.73
156.7,466.7,77,840.9,8.3,61,9.8,23.2,55.7,5.1
168.6,529.6,87,628.72,8.2,82.6,7.3,5.3,55.3,4.6
150.3,488.5,100,499.51,5,81.6,3.21,9.7,59.9,3.64
174.2,524.9,62,588.72,11.9,91.8,3.1,1.9,53.4,6.1
159.1,448.4,58,510.92,18.2,64.3,12.6,5.3,48.7,4.5
194.8,516.6,56,64.18,13.1,80.3,14,1,49.6,6
153.3,471,100,333.65,5,68.2,9.1,16.1,60.7,4.8
176.4,493.1,82,143.67,6.2,93.3,2.1,1.85,59.8,4.63
155.6,463,68,555.79,11.1,57.9,21.3,4.8,49.3,5.7
175.1,485.9,71,106.87,8.3,89.2,4.1,2.7,54.9,4.8
147.1,404.1,47,676.69,18.7,71.8,3,2.3,41.4,5.3
164.7,375.5,33,3.46,22.2,96.4,0.67,0.33,53.1,0.7
164.5,375.8,38,65.76,23.4,79.6,1.7,0.8,48.1,8.5
146.5,375.5,35,27.33,28.8,43.4,1,0.6,39.6,6.7
139.9,377.4,37,12.41,20.5,85.5,0.4,1.1,44.2,5.7
143.8,336.5,42,50.4,19.2,69.7,6.35,1.5,48.8,7.2
243.6,467.1,33,1.83,20.6,80,0,0.1,41.9,0
150.8,381,38,214.3,27.9,89.1,1.7,1.1,48.2,5.88
170.8,391.3,57,57.58,14.1,89.6,1.3,0.5,49.8,9.56
159.4,366.5,38,28.61,19.1,89.1,0.63,0.2,43.3,6
142.8,361.2,29,4.37,25.8,84.2,1.6,0,41.4,3.56
166.3,357,34,4.42,24.5,91.2,0.3,0,44.6,5.49
166.2,357.1,58,71.18,16.6,87.3,3.5,0.2,55.6,7.5
123.4,363.9,39,19.42,20.1,85.7,0.6,0.2,47.6,8.5
114.5,406.2,108,17.79,4.2,86.7,0.5,6.7,59.6,5.54
181.8,420.6,27,24.52,30.6,89.5,1.17,0.4,44.7,8.6
137.7,332.9,29,76.71,35.8,16.9,0.81,1,39.1,7.32
134.3,359,27,4.6,24.2,63.6,0.1,0,43.3,1.1
161.1,393,41,64.36,20.2,76,3.7,1.3,48.6,8.22
190.6,412.7,29,8.46,23.9,90,2.2,0.6,42.2,4.1
155.5,351.8,34,39.47,24.1,62.5,0.5,0.4,41.3,3.9
163.5,360.7,36,19.12,24,73.6,2.5,0.6,45.5,4.4
135.7,395.4,56,139.39,12.6,70,2.7,1.4,51.9,5.5
136.7,356.1,47,118.74,21,53.1,0.6,0.5,48.8,6.1
158.2,355.6,32,27.97,25.5,56.4,1.82,0.9,31.92,5.74
126.1,374.3,52,148.69,14.2,83.2,0.78,1.2,43.7,4
190.3,424.2,29,11.28,23.8,91.4,0.46,0.2,44.7,8.2
167.8,404.4,32,17.26,31,81,0.7,0.7,36,2.69
135.2,339,36,32.91,19.2,70.6,0.5,0.8,41.5,4.7
164.3,558.5,37,15.49,27.6,89.5,1.3,0,50.5,3
151.6,303,36,4.2,19.4,79.1,2.83,0.2,47,3.5
163.1,402.3,40,75.74,24.5,74.7,1.1,0.6,51.1,6.41
176.1,505.9,60,309.38,13.5,77,12.6,5.67,40.1,3.77
177.2,490.7,42,47.46,18.3,95.7,1.4,1.2,49.3,4.8
162,455.3,33,1455.44,31.5,21,33.3,3.7,27.3,5.7
163.6,494.4,46,196.57,17.2,86.9,5.43,4.1,43.3,4.3
167.9,517.8,43,77.92,16.2,92.2,1.58,0.8,46.9,4.8
158.6,470.8,52,78.29,12.7,92.3,4.36,0.4,45.8,5.47
173.2,550.1,41,130.78,19.3,93,2.5,0.68,45.6,6.07
183.8,508.2,48,87.07,18.2,88.5,5.9,1.5,46,5.1
180.3,512.4,46,48.84,16.7,96.2,0.85,0.5,49.4,5.1
194.2,437.1,34,51.88,20.5,73.3,22.3,0.52,47.9,6
111.3,327,38,2.21,14.6,99.5,0,0,53.6,10.8
200.6,460.2,64,36.31,10.2,71.8,22.8,0.9,59.9,3.7
149,423,75,73.15,7.9,80.3,13.5,3,57.3,4.8
180.3,383.4,46,7.16,14.8,68.8,26.5,0.18,49.6,9.3
195.7,491.5,76,25.52,7.5,76.6,18,1.3,61.95,6.2
187.4,514.8,64,16.27,8.8,76.5,19.5,0.87,60.5,6.6
190.6,446.8,45,10.97,13.7,69.8,28,0.98,44.3,4.3
224.2,330.5,31,24.74,26.6,93.9,3.8,0.3,51.5,6.2
136.5,364.9,122,375.63,3.9,67.8,7.4,16.2,65.5,6.2
191,456.9,60,34.6,11.5,78.4,16.7,0.5,58.3,5
189.8,404.1,37,12.3,22.4,61.8,34,0.3,47.1,7.5
169.8,463.3,52,13.13,12.3,85.8,8.25,0,53.7,6.3
157.1,444.9,58,8.86,10.6,86.3,10.3,0.5,60.6,1.9
213.7,445.1,38,31.08,21.1,60.6,35.1,0.4,43.8,4.66
206.9,525.6,48,10.61,14.4,79.4,19.3,0,53.8,2.7
153.3,396.2,43,97.65,24.8,86.7,4.3,6.1,43.4,3.1
194.3,526.7,48,14.79,13.4,83.9,13.4,0.2,44.3,5.7
201.4,454.3,72,20.39,6.2,81.6,12.3,0.8,63.56,2.6
227.1,527.2,36,12.16,21.5,61.6,36.4,0.8,41.06,6.5
190.5,450.4,51,12.23,14.3,70.5,28.7,0.1,54.3,7.3
201.5,508,37,15.67,24.3,56.8,39.6,0.6,44.2,7.3
177.3,503.5,59,35.39,10.7,82.6,12.7,1,56.7,2.1
199.2,430.1,44,23.73,16.9,95.6,1.64,0.5,53,5.96
178.3,339.1,34,18.05,21.9,92.2,6.4,0.1,51.4,2.9
176.8,399,44,62.19,14.6,74.8,21.4,0.3,51.6,4.2
175.1,459.6,75,28.03,7.1,85,12.3,0.5,65.7,5.62
188.8,410.4,37,22.95,25.5,64.1,32.9,1.4,44.6,7.61
172.1,437,61,37.86,10.5,59.8,32.07,2.1,61.9,4.9
150.1,373.7,91,451.72,7.2,61.45,20.47,7.77,60.2,6.86
185.8,390.6,46,34.33,14.7,92.1,5.83,0.1,50.4,6.17
149.6,401.1,62,7.38,9.3,92.4,4.2,0.81,58.8,5.2
176.2,452.4,42,8.91,19.7,66.5,28.8,2.18,50.2,8.8
155.9,400.5,61,94.41,8.2,89,5.8,2.9,53.4,5.4
159.2,338,48,22.35,13,93.8,2.9,0.7,53.7,6.5
156.1,400.2,55,78.59,11.7,94.3,1.8,0.7,58.2,4.8
212,365.4,37,27.89,17.9,97.2,1,0.1,52.3,3.3
196.1,330.8,36,22.13,20.8,98.1,0.76,0.3,55.3,2.2
171.4,407.6,45,43.19,12,93.1,2.4,0.5,53.8,7.41
202.4,389.1,37,31.47,19.7,96.1,2.1,0.3,49.7,6.2
181.8,405.7,46,18.11,15.3,60.9,35.9,0.1,52.5,5.5
172.5,449.4,75,130.48,9.2,74.3,16,2.5,61.3,6.1
175.6,450.5,92,142,5.9,70.1,17.1,2.9,66.4,5
182.2,426.5,48,6.71,12.9,52.4,45.1,0.82,53.6,4.9
208.4,486.9,37,11.72,23.9,39,57.1,0.1,41.3,3.7
208.1,376.4,38,42.9,19.2,94.7,2.92,0.4,52.5,6
202.5,428.2,60,39.08,11.3,90.8,4,1.04,52.6,5.54
176.7,420.8,43,54.59,14.5,96.5,1.49,0.6,52,5.1
179.9,450.9,48,17.63,15,67.8,28.2,0.6,47.3,3.7
223.4,367.3,38,39.72,21.9,92.7,5.42,0.5,49.4,3.7
175.9,433.5,41,29.12,15.6,95,3.6,0.7,52.1,2.9
152.3,389.3,81,67.84,5.5,77,13.5,5.3,64.8,4.9
135.4,317.6,86,153.51,9.6,64.1,21.4,6.6,36.2,6.2
226.6,265.7,34,17.14,21.8,89.9,5.7,0.9,40.5,3.9
240.8,578.2,38,6.62,17.2,90.3,1.05,7.1,45.9,11.9
178.2,718.9,45,46.6,25.9,70.7,19.2,6.7,30.5,2.8
182.2,458.3,66,235.43,9.8,62.3,29.7,3.3,54.7,5.7
159.3,493.6,52,17.82,11.5,79.7,13.1,3.5,42.7,3.66
207.4,539,33,42.08,23.6,46.2,48.7,1.2,33.3,3.2
137.6,447.7,125,13.89,3.2,77.6,2.13,11.4,53.3,3.1
221.7,468,38,8.49,22.5,38.9,58.6,0.6,30.8,4.9
180.3,566.3,51,28.12,16.8,65.6,23.3,2.5,34.2,4.3
190.3,491.9,47,136.45,15.2,42.8,50.1,2.3,39.7,4.7
150.5,591.1,38,52.54,28.3,84.8,7.12,4.1,34.7,2.6
244.9,547.6,40,22.38,19.5,52.7,38.1,1.46,30.5,5.97
194.5,495,40,79.81,25,65.1,28.44,2.84,37.8,6
155.2,364.1,72,41.76,9.8,71.4,14.3,5.2,56.9,6.9
191.9,457.2,48,182.39,16.7,50.4,40.4,3.06,38.4,5.2
193.6,480.5,42,246.39,23.4,47.8,42.1,3.4,34.3,6.4
197.3,461,31,3.94,21.6,87.5,3.4,5.81,32.6,3.9
224.4,651.3,32,32.48,25.8,18.1,77.1,1.3,27.01,4.37
159.2,441.3,84,12.06,5.9,94.3,1,1.8,62.6,4.4
218.1,473.2,43,96.2,18.3,41.2,52.6,1.1,35.9,5.95
193.1,463.1,34,17.4,32.4,85.3,9.19,1.9,31.1,1.04
200.2,475.4,42,220.29,25,44,48.6,2.2,23.9,4.9
201.2,512.4,40,99.9,20.4,64.2,27.8,2.46,33.6,6.7
186.6,511.5,54,25.43,10.2,88.1,7.79,2.1,46.3,4.61
176.1,537.9,42,24.42,16.5,82.8,12.2,1.1,40.5,3.9
199.3,472,60,88.16,13.6,52.4,41.8,1.4,52.2,5.72
168.1,435.6,67,452.75,8.6,67.7,19.3,6.5,50.4,5.8
210.5,596.9,44,21.49,14.6,81.15,12.7,0.96,40.8,7.4
192.8,401.9,44,27.28,13.4,80.6,10.6,2.4,38.7,6.6
135.7,340.3,47,19.25,19,67.6,0.2,0.91,58.1,9.9
188.3,371.3,44,22.11,16.3,93.5,0.4,0.88,49.2,3.8
163.9,452.4,58,190.31,14.6,80.2,1.5,2.6,53.6,6.3
154.7,451.5,49,75.64,14,90.1,0.5,0.8,53,4.2
181.3,480.2,47,73.49,16.2,88.1,0.9,1.5,47.2,5.96
178.2,427.4,61,459.5,9.9,84.7,1.93,4.2,53.3,5.7
194.4,476.2,45,3.94,15.5,91.8,0.4,0.6,51.1,5.2
184.1,455.5,44,103.47,20.6,90.7,0.6,1.32,49.8,6.3
157.4,449.9,51,40.53,15.5,73.3,0.3,0.74,59.5,4.64
161.1,358.2,39,7.58,22.4,76.1,0.3,0.1,47.8,4.98
163.5,420.9,55,88.81,17.3,69.8,2.1,2.1,53.4,8.39
115,293.6,46,2.22,14.2,97.4,0,1.2,58.1,13.6
173.1,417.9,50,93.26,15.8,71.2,0.7,1,54.7,6.9
194.6,518.4,43,71.12,19.6,87.4,1.2,1.6,46,5.7
143.5,462,59,80.59,10.3,85.05,2.9,4.6,56.3,6.11
154.9,480.9,50,30.47,14.1,90.4,0.86,1.6,50.5,5.31
152.7,464.2,75,2117.13,11.3,68.1,6.2,15.6,46.85,5.2
170.7,414.6,38,38.03,19.9,71.6,6.7,0.9,49,5.8
203.8,464.3,34,30.55,24.5,96.5,0.5,0.24,48.2,3.9
149.1,345.3,60,77.39,10,93.6,1.6,1.39,56.74,4.5
178.6,416.1,41,13.8,16.5,96.3,0.46,0.6,52.9,3.8
178.5,393.1,43,36.38,14.8,94.2,0.3,0.3,50.1,3.89
172.2,358.9,45,25.79,14.4,96.6,0.5,0.62,50.7,6.1
178.6,413.5,57,108.8,9.8,87.1,6.4,1.97,50.7,5.8
168,489.1,50,33.16,11.6,92.5,0.7,0.6,54.5,5.1
192.1,514.3,41,410.85,21.5,74.8,20.4,0.96,43,4.86
196.5,475.7,39,25.16,18.5,97.6,0.4,0.41,54,6.4
195.2,324.9,33,15.43,20.9,90.9,4.6,0.5,44.1,2.8
151.8,521.2,55,91.64,9.7,94.6,1.37,0.7,51.8,5.65
168.3,447.1,43,41.54,18.5,91.1,5.6,0.4,51.6,3.7
187.5,396.3,44,45.94,16.6,97.1,0.6,0.3,54.7,6.3
155.4,373.8,39,36.38,18.7,93.6,0.7,2.9,46.7,5.4
181.6,448.5,41,31.88,14.1,97.5,0.4,0.6,53,5.2
165.5,514.9,45,286.09,20.1,75.5,11.2,5.68,38.8,4.5
173,417.8,48,64.22,15.2,91.1,3.27,0.3,54.4,6.9
193.4,406.2,37,25.35,19,96.1,0.6,0.5,48.1,4
167.6,344.3,35,11.35,17.3,96.6,0.5,0.4,44.8,4.68
180.1,446.7,42,70.7,28.3,88.6,2.6,1.69,40.7,3.8
193.8,473.5,46,159.49,15.4,87.5,8.5,0.7,48.7,5
171,464.2,46,260.26,18.9,81.63,11,2.3,44,4.4
200.7,469.6,40,17.26,17.4,96.3,0.68,0.4,50.2,4.4
160.2,473.3,53,636.37,15.3,81.2,9.7,2.5,49.4,6
113.5,337.6,40,2.17,12.7,98.4,0.86,0.1,49,7.94
213.1,395.3,30,11.42,29.2,87.5,7.9,0.1,47,4.4
186.7,484.6,51,88.37,11.1,95.8,1.3,0.5,59.9,5.41
132.5,372.9,60,21.98,8.9,92.6,0.6,0.7,59.9,5.89
177.6,425.8,48,98.57,14.5,92.4,2.6,0.3,50.9,4.6
162.7,433.5,74,187.32,6.1,96.4,0.47,0.9,61.5,4.4
175.3,366,37,6.42,20.6,80.44,8.5,0.2,48.7,6
160.3,422.5,39,10.89,15.4,75.3,1.7,0.6,48,3.38
177.8,506.5,54,864.84,12.3,83.2,10.3,3.47,48.7,4.7
180,494.9,37,24.46,16.6,91.8,3.2,0.4,50.4,4
168.7,430.4,44,67.22,15.4,93.4,1.7,0.7,47.9,3.3
190.2,350.2,42,28.78,16.3,95,1,0.6,50.8,5.96
177.2,448.5,41,43.07,23,93,2.7,0.8,50,4.3
185,310.1,42,23.55,14.5,94.7,0.3,0.2,47.1,5.6
154.4,438.7,51,83.63,11.9,93.7,1.4,2.3,55.9,5.8
190.2,417.3,40,14.9,16.1,97,0.5,0.4,55.7,4.8
182.8,371,57,149.57,10.4,94.6,2.3,0.6,54.5,6.1
184.5,475.3,41,62.95,20.4,94.3,2.1,0.4,52.6,5.83
207.6,484.4,37,9.26,15.7,97.1,0.4,0,49.2,3.3
189.2,499,42,172.79,20,80.9,13.8,0.5,47.8,5
197,393.2,41,47.95,21,94.3,1.4,0.31,56.1,5.7
159.6,495.7,69,1242.3,10,76.3,13.9,6.3,50.7,5.3
153.3,370.2,41,26.11,20.1,94.7,1.3,0.3,57.9,4.9
177,402.9,35,20.94,21.4,96.8,0.3,0.56,49.3,6.5
171.1,396,35,6.01,17.8,96.3,0.3,0.5,49.2,3.3
193.7,541.3,40,23.06,20.4,96.57,0.8,0.3,51.6,4.2
199.5,404.3,33,8.25,20.5,96.68,0.44,0.1,51.9,5.04
194.7,457,44,24.25,13.2,95.8,0.4,0.6,54.3,3.2
142.2,404.1,60,279.96,9.1,90.1,1.6,2.8,61.4,5.4
171.8,414.7,39,12.84,16.1,97.3,0.5,0.3,54.98,3.2
201.8,496.9,35,23.9,20.7,96.8,0.2,0.3,46.6,5.9
175.3,475.4,44,193.31,17.4,75.3,18.4,1.2,44.6,5.43
189.5,488,50,159.88,13.8,93.6,2.2,0.63,52.6,4.6
178.9,404.4,43,61.02,18.5,92.1,2.8,0.6,53,7.08
170.6,368.5,42,41.48,14.7,96.6,0.6,0.31,53.6,5.2
213.7,439.1,39,8.17,17.6,86.9,0.5,1.47,50.6,4.6
184.9,505,47,68.62,15.3,96.8,0.46,0.4,54.9,5.1
181.9,459,43,53.78,15.6,96.5,1.1,0.3,56.5,6.3
188.2,431.5,46,75.08,16.5,87.9,3.6,0.6,51.8,4.67
157,463.9,62,358.88,14.3,74.1,12.1,8.44,44.9,4.1
197.9,528.7,41,1759.34,24.1,53.3,39.4,2.9,37.2,5.7
199.2,528.4,39,33,19,96.2,0.6,0.6,53.9,5.2
164.1,453.5,40,15.7,14.9,95.1,0.4,0.3,53.3,7.9
167.9,453.5,70,344.15,7.6,85.7,4.9,4.1,56.4,6.2
189.3,453.5,51,33.39,14.6,87.8,0.52,0.46,54,5.24
162.6,453.5,43,45.67,18.5,74.1,0.82,0.9,44.6,6.6
155.3,453.5,52,39.71,13.6,94.3,2.3,1.1,48.1,7.21
182.1,532.7,51,81.25,16.6,91.5,4.3,1.34,46.4,4.3
171.5,472.2,55,61.51,11.6,89.9,4.4,1.7,48.4,3.5
181.4,522,48,48.49,13.8,94.3,1.77,0.9,45.2,3.1
160.7,461,45,46.05,14.4,95.1,2,0.6,46.4,4.2
164.8,486.7,70,295.75,10.2,78.5,10.1,3.9,52.6,3.8
183.3,544.1,50,922.58,15.2,78.7,13.3,3.15,41.9,4.8
164.5,463.7,50,38.48,12,93,3.1,0.6,51.2,3.2
180.9,466.4,45,50.66,18.5,83,5.57,0.4,46,5.9
183.4,504.2,45,53.99,17.8,95.2,1.58,0.6,46.5,4.8
